Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary,Evaluation,Comments
Leo,good,super,good,good,middle,super,super,4,Excellent
Liam,super,good,middle,middle,good,super,super,3.8,Excellent
Neil,super,low,good,middle,good,super,super,3.6,Excellent
Wesley,low,good,good,middle,good,good,good,3.4,Promising
Hugo,good,low,low,low,low,low,low,2.4,Promising
Kathy,low,low,super,middle,good,super,super,3.2,Excellent
Emily,middle,good,low,good,middle,good,good,3.2,Promising
Bob,low,low,middle,good,middle,low,low,2.8,Promising
Lenny,middle,good,middle,low,middle,middle,middle,3,Promising
Jeff,good,low,low,super,super,super,super,3.6,Excellent
Nina,low,super,low,middle,good,super,super,3.2,Excellent
Mabel,super,middle,super,middle,middle,super,super,3.8,Excellent
Kristen,low,low,super,middle,super,super,super,3.4,Excellent
Gail,middle,good,low,good,low,good,good,3,Promising
Yasmine,low,middle,good,good,low,good,good,3,Promising
Tim,super,middle,middle,low,low,super,super,3,Excellent
Yvonne,middle,good,good,good,middle,good,good,3.6,Promising
Owen,low,good,middle,middle,super,super,super,3.4,Excellent
Fay,low,low,low,good,low,low,low,2.4,Promising
Jack,low,low,good,middle,middle,low,low,2.8,Promising
Norm,super,low,low,middle,super,super,super,3.4,Excellent
Duke,low,good,middle,low,middle,low,low,2.8,Promising
Tracy,super,good,good,middle,good,super,super,4,Excellent
Rose,super,middle,middle,low,good,super,super,3.4,Excellent
Steve,low,middle,middle,middle,good,middle,middle,3,Promising
Irene,good,good,super,good,low,super,super,3.8,Excellent
Roger,good,low,low,middle,good,good,good,3,Promising
Sam,good,good,middle,middle,good,good,good,3.6,Promising
Victor,super,low,low,middle,low,super,super,2.8,Good but inconsistent
Gwen,good,good,low,good,super,super,super,3.8,Excellent
Otis,middle,low,good,low,low,low,low,2.6,Promising
Quinn,good,low,middle,middle,middle,middle,middle,3,Promising
Ian,good,good,super,good,super,super,super,4.4,Excellent
Megan,low,low,low,middle,good,low,low,2.6,Promising
Eve,middle,super,middle,super,good,super,super,4,Excellent
Kim,good,good,good,super,middle,super,super,4,Excellent
Xiomara,good,low,middle,low,super,super,super,3.2,Excellent
Louis,super,middle,low,middle,good,super,super,3.4,Excellent
Leonard,good,low,super,low,super,super,super,3.6,Excellent
Mindy,super,good,middle,middle,middle,super,super,3.6,Excellent
Trevor,good,low,good,super,super,super,super,4,Excellent
Oscar,good,good,middle,low,middle,good,good,3.2,Promising
Pam,good,super,good,middle,low,super,super,3.6,Excellent
Grace,low,good,low,middle,low,low,low,2.6,Promising
Upton,middle,good,super,super,good,super,super,4.2,Excellent
Avery,good,low,middle,good,super,super,super,3.6,Excellent
Howard,low,good,middle,good,good,good,good,3.4,Promising
Daisy,super,good,good,middle,low,super,super,3.6,Excellent
Dave,middle,middle,low,low,low,low,low,2.4,Promising
Ursula,low,middle,low,super,good,super,super,3.2,Excellent
Bill,middle,middle,good,super,low,super,super,3.4,Excellent
Vivian,middle,low,low,super,good,super,super,3.2,Excellent
Xyla,super,middle,good,middle,good,super,super,3.8,Excellent
Ulrich,middle,low,middle,middle,super,super,super,3.2,Excellent
Katie,middle,middle,middle,super,low,super,super,3.2,Excellent
Preston,low,good,good,low,super,super,super,3.4,Excellent
Queenie,super,middle,good,low,good,super,super,3.6,Excellent
Gerald,low,good,low,good,low,good,good,2.8,Promising
Isaac,low,good,middle,super,middle,super,super,3.4,Excellent
Nick,middle,good,low,middle,middle,middle,middle,3,Promising
Gina,middle,good,middle,middle,good,good,good,3.4,Promising
Alice,good,super,middle,middle,good,super,super,3.8,Excellent
Arthur,super,middle,middle,middle,low,super,super,3.2,Excellent
Catherine,super,middle,super,low,super,super,super,4,Excellent
Walter,super,middle,super,middle,middle,super,super,3.8,Excellent
Amy,middle,good,super,super,super,super,super,4.4,Excellent
Wilma,good,good,middle,super,middle,super,super,3.8,Excellent
Ned,low,good,good,middle,good,good,good,3.4,Promising
Vera,good,middle,middle,middle,super,super,super,3.6,Excellent
Ivy,low,middle,middle,low,low,low,low,2.4,Promising
Susie,good,good,middle,low,good,good,good,3.4,Promising
Tina,good,super,middle,middle,middle,super,super,3.6,Excellent
Daniel,middle,low,middle,middle,good,middle,middle,3,Promising
Camille,good,middle,low,middle,middle,middle,middle,3,Promising
Rhonda,low,good,good,middle,good,good,good,3.4,Promising
Ron,middle,low,middle,middle,middle,middle,middle,2.8,Promising
Paul,middle,middle,low,low,low,low,low,2.4,Promising
Olivia,super,good,low,middle,low,super,super,3.2,Excellent
Tom,good,good,good,middle,middle,good,good,3.6,Promising
Quincy,middle,good,low,low,middle,low,low,2.8,Promising
Zinnia,middle,middle,good,good,super,super,super,3.8,Excellent
George,good,good,middle,low,middle,good,good,3.2,Promising
Ken,low,middle,good,low,good,good,good,3,Promising
Clara,middle,middle,low,super,middle,super,super,3.2,Excellent
Mary,middle,super,low,super,low,super,super,3.4,Excellent
Quasar,low,low,low,super,middle,super,super,2.8,Good but inconsistent
Yogi,low,good,middle,super,middle,super,super,3.4,Excellent
Julian,low,good,low,low,low,low,low,2.4,Promising
Ulysses,good,middle,good,low,super,super,super,3.6,Excellent
Ulla,middle,good,super,low,good,super,super,3.6,Excellent
Helen,middle,good,super,good,middle,super,super,3.8,Excellent
Dexter,middle,low,good,middle,middle,middle,middle,3,Promising
Carlos,middle,low,middle,good,low,low,low,2.8,Promising
Xander,middle,super,low,good,low,super,super,3.2,Excellent
Olive,good,good,super,middle,good,super,super,4,Excellent
